brand,model,url,category,source,sourceType,sourceId
Hisense,,https://www.target.com/p/hisense-65-4k-ultra-hd-smart-tv-black-65h8c/-/A-53479262,Televisions,Target,retailer,2
Samsung,UN48J6200AFXZA,https://www.target.com/p/samsung-48-flat-panel-tv-1080p-120-hz-smart-tv-black-un48j6200afxza/-/A-17246727,Televisions,Target,retailer,2
Samsung,UN40J5500AFXZA,https://www.target.com/p/samsung-40-class-1080p-60-hz-smart-quad-core-tv-black-un40j5500afxza/-/A-17246724,Televisions,Target,retailer,2
Samsung,,https://www.target.com/p/samsung-43-flat-4k-uhd-black-un43mu6300fxza/-/A-52478091,Televisions,Target,retailer,2
Samsung,,https://www.target.com/p/samsung-49-curved-4k-uhd-black-un49mu7500fxza/-/A-52478525,Televisions,Target,retailer,2
VIZIO®,,https://www.target.com/p/vizio-174-smartcast-153-e-series-80-class-80-diag-2160p-120hz-ultra-hd-hdr-xled-153-display-e80-e3/-/A-52297412,Televisions,Target,retailer,2
ATYME,650AM7UD,https://www.target.com/p/atyme-65-class-4k-2160p-led-tv-650am7ud/-/A-53267440,Televisions,Target,retailer,2
Samsung,UN50J6300AFXZA,https://www.target.com/p/samsung-50-class-1080p-120hz-quad-core-smart-led-tv-black-un50j6300afxza/-/A-17246732,Televisions,Target,retailer,2
VIZIO,M70-F3,https://www.target.com/p/vizio-m-series-153-70-class-69-5-diag-4k-hdr-smart-tv-black-m70-f3/-/A-53453488,Televisions,Target,retailer,2
Samsung,UN43KU6300FXZA,https://www.target.com/p/samsung-43in-2160p-120-hz-flat-panel-tv-black-un43ku6300fxza/-/A-51131064,Televisions,Target,retailer,2
Samsung,,https://www.target.com/p/samsung-49-curved-4k-uhd-black-un49mu6500fxza/-/A-52478243,Televisions,Target,retailer,2
LG,OLED65C8PUA,https://www.target.com/p/lg-65-4k-uhd-hdr-smart-oled-tv-black-grey-oled65c8pua/-/A-53417000,Televisions,Target,retailer,2
Westinghouse,DWM42F2G1,https://www.target.com/p/westinghouse-42-class-1080p-60hz-led-hdtv-black-dwm42f2g1/-/A-15186872,Televisions,Target,retailer,2
